scene_id,scene_source_split,scene_partition,scene_has_progress,scene_complete,scene_energy_label,scene_type,instance_id,target_category,source_object_name,state,bad_polygon,usable_for_state_model,rgb_crop_relpath,depth_crop_relpath,crop_left,crop_top,crop_right,crop_bottom,crop_width,crop_height,bbox_x1,bbox_y1,bbox_x2,bbox_y2,overlay_dx,overlay_dy,reviewer,notes
kv1__NYUdata__NYU0625,train,train_candidate,1,0,none,office,monitor_or_tv_1,monitor_or_tv,monitor,unclear,0,0,crops/rgb/kv1__NYUdata__NYU0625__monitor_or_tv_1.png,crops/depth/kv1__NYUdata__NYU0625__monitor_or_tv_1.png,155,148,259,293,104,145,165,156,253,284,-2,0.2,,
kv1__NYUdata__NYU0625,train,train_candidate,1,0,none,office,lamp_1,lamp,lamp,off,0,1,crops/rgb/kv1__NYUdata__NYU0625__lamp_1.png,crops/depth/kv1__NYUdata__NYU0625__lamp_1.png,124,45,180,184,56,139,133,49,173,171,-1,4.3,,
kv1__NYUdata__NYU0964,train,train_candidate,1,0,none,bedroom,door_1,door,door,closed,0,1,crops/rgb/kv1__NYUdata__NYU0964__door_1.png,crops/depth/kv1__NYUdata__NYU0964__door_1.png,0,0,118,311,118,311,1,1,110,303,0,0,,no shape of lamp in this scene
kv1__NYUdata__NYU0964,train,train_candidate,1,0,none,bedroom,monitor_or_tv_1,monitor_or_tv,monitor,off,0,1,crops/rgb/kv1__NYUdata__NYU0964__monitor_or_tv_1.png,crops/depth/kv1__NYUdata__NYU0964__monitor_or_tv_1.png,276,33,445,184,169,151,284,41,437,176,0,0,,no shape of lamp in this scene
kv1__NYUdata__NYU0964,train,train_candidate,1,0,none,bedroom,lamp_1,lamp,lamp,unknown,1,0,crops/rgb/kv1__NYUdata__NYU0964__lamp_1.png,crops/depth/kv1__NYUdata__NYU0964__lamp_1.png,508,108,561,201,53,93,516,116,561,193,0,0,,no shape of lamp in this scene
kv1__NYUdata__NYU1232,train,train_candidate,1,0,possible_unnecessary_lighting,living_room,door_1,door,door,closed,1,0,crops/rgb/kv1__NYUdata__NYU1232__door_1.png,crops/depth/kv1__NYUdata__NYU1232__door_1.png,144,20,194,63,50,43,152,28,186,55,0,0,,
kv1__NYUdata__NYU1232,train,train_candidate,1,0,possible_unnecessary_lighting,living_room,lamp_1,lamp,lamp,on,0,1,crops/rgb/kv1__NYUdata__NYU1232__lamp_1.png,crops/depth/kv1__NYUdata__NYU1232__lamp_1.png,307,0,351,99,44,99,315,1,343,91,0,0,,
kv1__NYUdata__NYU1232,train,train_candidate,1,0,possible_unnecessary_lighting,living_room,lamp_2,lamp,lamp,on,0,1,crops/rgb/kv1__NYUdata__NYU1232__lamp_2.png,crops/depth/kv1__NYUdata__NYU1232__lamp_2.png,455,0,516,244,61,244,463,1,508,236,0,0,,
kv1__NYUdata__NYU1232,train,train_candidate,1,0,possible_unnecessary_lighting,living_room,monitor_or_tv_1,monitor_or_tv,tv,unknown,1,0,crops/rgb/kv1__NYUdata__NYU1232__monitor_or_tv_1.png,crops/depth/kv1__NYUdata__NYU1232__monitor_or_tv_1.png,0,80,36,136,36,56,1,88,28,128,0,0,,
kv1__NYUdata__NYU1232,train,train_candidate,1,0,possible_unnecessary_lighting,living_room,monitor_or_tv_2,monitor_or_tv,tv,unknown,1,0,crops/rgb/kv1__NYUdata__NYU1232__monitor_or_tv_2.png,crops/depth/kv1__NYUdata__NYU1232__monitor_or_tv_2.png,253,87,424,268,171,181,261,95,416,260,0,0,,
kv1__NYUdata__NYU1289,train,train_candidate,1,1,possible_open_door_inefficiency,living_room,door_1,door,door,open,0,1,crops/rgb/kv1__NYUdata__NYU1289__door_1.png,crops/depth/kv1__NYUdata__NYU1289__door_1.png,468,26,537,199,69,173,476.0,34.0,529.0,191.0,0.0,0.0,,
kv1__NYUdata__NYU1289,train,train_candidate,1,1,possible_open_door_inefficiency,living_room,lamp_1,lamp,lamp,off,0,1,crops/rgb/kv1__NYUdata__NYU1289__lamp_1.png,crops/depth/kv1__NYUdata__NYU1289__lamp_1.png,386,89,442,161,56,72,394.0,97.0,434.0,153.0,0.0,0.0,,
kv1__NYUdata__NYU1289,train,train_candidate,1,1,possible_open_door_inefficiency,living_room,monitor_or_tv_1,monitor_or_tv,tv,off,1,0,crops/rgb/kv1__NYUdata__NYU1289__monitor_or_tv_1.png,crops/depth/kv1__NYUdata__NYU1289__monitor_or_tv_1.png,524,100,561,204,37,104,532.0,108.0,561.0,196.0,0.0,0.0,,
kv1__NYUdata__NYU1290,train,train_candidate,1,1,none,living_room,door_1,door,door,closed,0,1,crops/rgb/kv1__NYUdata__NYU1290__door_1.png,crops/depth/kv1__NYUdata__NYU1290__door_1.png,242,1,305,186,63,185,250.0,9.0,297.0,178.0,0.0,0.0,,
kv1__NYUdata__NYU1290,train,train_candidate,1,1,none,living_room,lamp_1,lamp,lamp,off,0,1,crops/rgb/kv1__NYUdata__NYU1290__lamp_1.png,crops/depth/kv1__NYUdata__NYU1290__lamp_1.png,170,73,236,156,66,83,178.0,81.0,228.0,148.0,0.0,0.0,,
kv1__NYUdata__NYU1290,train,train_candidate,1,1,none,living_room,monitor_or_tv_1,monitor_or_tv,tv,off,0,1,crops/rgb/kv1__NYUdata__NYU1290__monitor_or_tv_1.png,crops/depth/kv1__NYUdata__NYU1290__monitor_or_tv_1.png,351,78,479,192,128,114,359.0,86.0,471.0,184.0,0.0,0.0,,
kv1__b3dodata__img_0556,train,train_candidate,1,1,none,living_room,monitor_or_tv_1,monitor_or_tv,tv,off,0,1,crops/rgb/kv1__b3dodata__img_0556__monitor_or_tv_1.png,,196,66,344,164,148,98,204,74,336,156,0,0,,
kv1__b3dodata__img_0556,train,train_candidate,1,1,none,living_room,lamp_1,lamp,lamp,unclear,1,0,crops/rgb/kv1__b3dodata__img_0556__lamp_1.png,,24,0,76,118,52,118,32,-34,68,110,0,0,,
kv1__b3dodata__img_0556,train,train_candidate,1,1,none,living_room,door_1,door,door,closed,1,0,crops/rgb/kv1__b3dodata__img_0556__door_1.png,,479,0,561,190,82,190,487,-43,599,182,0,0,,
kv1__b3dodata__img_0669,train,train_candidate,1,1,none,living_room,monitor_or_tv_1,monitor_or_tv,monitor,off,0,1,crops/rgb/kv1__b3dodata__img_0669__monitor_or_tv_1.png,,11,39,339,340,328,301,19,47,331,332,0,0,,
kv1__b3dodata__img_0669,train,train_candidate,1,1,none,living_room,door_1,door,door,closed,1,0,crops/rgb/kv1__b3dodata__img_0669__door_1.png,,85,0,367,213,282,213,93,-43,359,205,0,0,,
kv1__b3dodata__img_0669,train,train_candidate,1,1,none,living_room,lamp_1,lamp,lamp,unclear,1,0,crops/rgb/kv1__b3dodata__img_0669__lamp_1.png,,0,0,8,1,8,1,-42,-45,0,-17,0,0,,
kv2__kinect2data__000401_2014-06-09_22-23-08_260595134347_rgbf000123-resize,train,train_candidate,1,0,possible_unnecessary_lighting,dining_room,monitor_or_tv_1,monitor_or_tv,monitor,unclear,1,0,crops/rgb/kv2__kinect2data__000401_2014-06-09_22-23-08_260595134347_rgbf000123-resize__monitor_or_tv_1.png,crops/depth/kv2__kinect2data__000401_2014-06-09_22-23-08_260595134347_rgbf000123-resize__monitor_or_tv_1.png,0,86,1,207,1,121,-116,94,-81,199,0,0,,
kv2__kinect2data__000401_2014-06-09_22-23-08_260595134347_rgbf000123-resize,train,train_candidate,1,0,possible_unnecessary_lighting,dining_room,door_1,door,door,unknown,1,0,crops/rgb/kv2__kinect2data__000401_2014-06-09_22-23-08_260595134347_rgbf000123-resize__door_1.png,crops/depth/kv2__kinect2data__000401_2014-06-09_22-23-08_260595134347_rgbf000123-resize__door_1.png,711,128,730,530,19,402,719,136,835,526,0,0,,
kv2__kinect2data__000401_2014-06-09_22-23-08_260595134347_rgbf000123-resize,train,train_candidate,1,0,possible_unnecessary_lighting,dining_room,lamp_1,lamp,lamp,on,0,1,crops/rgb/kv2__kinect2data__000401_2014-06-09_22-23-08_260595134347_rgbf000123-resize__lamp_1.png,crops/depth/kv2__kinect2data__000401_2014-06-09_22-23-08_260595134347_rgbf000123-resize__lamp_1.png,0,0,80,313,80,313,-36,-2,72,305,0,0,,
kv2__kinect2data__000415_2014-06-04_19-50-03_260595134347_rgbf000070-resize,train,train_candidate,1,1,possible_unnecessary_lighting,home_office,lamp_1,lamp,lamp,unclear,1,0,crops/rgb/kv2__kinect2data__000415_2014-06-04_19-50-03_260595134347_rgbf000070-resize__lamp_1.png,crops/depth/kv2__kinect2data__000415_2014-06-04_19-50-03_260595134347_rgbf000070-resize__lamp_1.png,729,138,730,187,1,49,807.0,146.0,836.0,179.0,0.0,0.0,,
kv2__kinect2data__000415_2014-06-04_19-50-03_260595134347_rgbf000070-resize,train,train_candidate,1,1,possible_unnecessary_lighting,home_office,monitor_or_tv_1,monitor_or_tv,television,off,0,1,crops/rgb/kv2__kinect2data__000415_2014-06-04_19-50-03_260595134347_rgbf000070-resize__monitor_or_tv_1.png,crops/depth/kv2__kinect2data__000415_2014-06-04_19-50-03_260595134347_rgbf000070-resize__monitor_or_tv_1.png,400,104,536,199,136,95,408.0,112.0,528.0,191.0,0.0,0.0,,
kv2__kinect2data__000415_2014-06-04_19-50-03_260595134347_rgbf000070-resize,train,train_candidate,1,1,possible_unnecessary_lighting,home_office,door_1,door,door,unclear,1,0,crops/rgb/kv2__kinect2data__000415_2014-06-04_19-50-03_260595134347_rgbf000070-resize__door_1.png,crops/depth/kv2__kinect2data__000415_2014-06-04_19-50-03_260595134347_rgbf000070-resize__door_1.png,222,24,352,282,130,258,230.0,32.0,344.0,274.0,0.0,0.0,,
kv2__kinect2data__000415_2014-06-04_19-50-03_260595134347_rgbf000070-resize,train,train_candidate,1,1,possible_unnecessary_lighting,home_office,lamp_2,lamp,lamp,on,0,1,crops/rgb/kv2__kinect2data__000415_2014-06-04_19-50-03_260595134347_rgbf000070-resize__lamp_2.png,crops/depth/kv2__kinect2data__000415_2014-06-04_19-50-03_260595134347_rgbf000070-resize__lamp_2.png,27,77,245,320,218,243,35.0,85.0,237.0,312.0,0.0,0.0,,
kv2__kinect2data__000440_2014-06-08_11-25-22_260595134347_rgbf000080-resize,train,train_candidate,1,1,none,recreation_room,door_1,door,door,closed,0,1,crops/rgb/kv2__kinect2data__000440_2014-06-08_11-25-22_260595134347_rgbf000080-resize__door_1.png,crops/depth/kv2__kinect2data__000440_2014-06-08_11-25-22_260595134347_rgbf000080-resize__door_1.png,533,10,611,160,78,150,541,18,603,152,0,0,,
kv2__kinect2data__000440_2014-06-08_11-25-22_260595134347_rgbf000080-resize,train,train_candidate,1,1,none,recreation_room,door_2,door,door,unclear,1,0,crops/rgb/kv2__kinect2data__000440_2014-06-08_11-25-22_260595134347_rgbf000080-resize__door_2.png,crops/depth/kv2__kinect2data__000440_2014-06-08_11-25-22_260595134347_rgbf000080-resize__door_2.png,729,0,730,211,1,211,764,-2,837,203,0,0,,
kv2__kinect2data__000440_2014-06-08_11-25-22_260595134347_rgbf000080-resize,train,train_candidate,1,1,none,recreation_room,monitor_or_tv_1,monitor_or_tv,monitor,off,0,1,crops/rgb/kv2__kinect2data__000440_2014-06-08_11-25-22_260595134347_rgbf000080-resize__monitor_or_tv_1.png,crops/depth/kv2__kinect2data__000440_2014-06-08_11-25-22_260595134347_rgbf000080-resize__monitor_or_tv_1.png,596,72,641,117,45,45,604,80,633,109,0,0,,
kv2__kinect2data__000440_2014-06-08_11-25-22_260595134347_rgbf000080-resize,train,train_candidate,1,1,none,recreation_room,monitor_or_tv_2,monitor_or_tv,monitor,off,0,1,crops/rgb/kv2__kinect2data__000440_2014-06-08_11-25-22_260595134347_rgbf000080-resize__monitor_or_tv_2.png,crops/depth/kv2__kinect2data__000440_2014-06-08_11-25-22_260595134347_rgbf000080-resize__monitor_or_tv_2.png,634,73,692,119,58,46,642,81,684,111,0,0,,
kv2__kinect2data__000440_2014-06-08_11-25-22_260595134347_rgbf000080-resize,train,train_candidate,1,1,none,recreation_room,monitor_or_tv_3,monitor_or_tv,monitor,off,0,1,crops/rgb/kv2__kinect2data__000440_2014-06-08_11-25-22_260595134347_rgbf000080-resize__monitor_or_tv_3.png,crops/depth/kv2__kinect2data__000440_2014-06-08_11-25-22_260595134347_rgbf000080-resize__monitor_or_tv_3.png,640,63,713,118,73,55,648,71,705,110,0,0,,
kv2__kinect2data__000440_2014-06-08_11-25-22_260595134347_rgbf000080-resize,train,train_candidate,1,1,none,recreation_room,monitor_or_tv_4,monitor_or_tv,monitor,off,0,1,crops/rgb/kv2__kinect2data__000440_2014-06-08_11-25-22_260595134347_rgbf000080-resize__monitor_or_tv_4.png,crops/depth/kv2__kinect2data__000440_2014-06-08_11-25-22_260595134347_rgbf000080-resize__monitor_or_tv_4.png,701,70,729,123,28,53,709,78,721,115,0,0,,
kv2__kinect2data__000440_2014-06-08_11-25-22_260595134347_rgbf000080-resize,train,train_candidate,1,1,none,recreation_room,monitor_or_tv_5,monitor_or_tv,monitor,off,0,1,crops/rgb/kv2__kinect2data__000440_2014-06-08_11-25-22_260595134347_rgbf000080-resize__monitor_or_tv_5.png,crops/depth/kv2__kinect2data__000440_2014-06-08_11-25-22_260595134347_rgbf000080-resize__monitor_or_tv_5.png,711,71,730,124,19,53,719,79,738,116,0,0,,
kv2__kinect2data__000440_2014-06-08_11-25-22_260595134347_rgbf000080-resize,train,train_candidate,1,1,none,recreation_room,lamp_1,lamp,lamp,unclear,0,0,crops/rgb/kv2__kinect2data__000440_2014-06-08_11-25-22_260595134347_rgbf000080-resize__lamp_1.png,crops/depth/kv2__kinect2data__000440_2014-06-08_11-25-22_260595134347_rgbf000080-resize__lamp_1.png,622,8,695,193,73,185,630,16,687,185,0,0,,
kv2__kinect2data__000579_2014-06-08_11-07-06_260595134347_rgbf000166-resize,train,train_candidate,1,1,none,office,door_1,door,door,closed,0,1,crops/rgb/kv2__kinect2data__000579_2014-06-08_11-07-06_260595134347_rgbf000166-resize__door_1.png,crops/depth/kv2__kinect2data__000579_2014-06-08_11-07-06_260595134347_rgbf000166-resize__door_1.png,323,28,465,107,142,79,331.0,36.0,457.0,99.0,0.0,0.0,,
kv2__kinect2data__000579_2014-06-08_11-07-06_260595134347_rgbf000166-resize,train,train_candidate,1,1,none,office,monitor_or_tv_1,monitor_or_tv,monitor,off,0,1,crops/rgb/kv2__kinect2data__000579_2014-06-08_11-07-06_260595134347_rgbf000166-resize__monitor_or_tv_1.png,crops/depth/kv2__kinect2data__000579_2014-06-08_11-07-06_260595134347_rgbf000166-resize__monitor_or_tv_1.png,402,90,485,167,83,77,410.75,98.75,476.75,158.75,0.0,0.0,,
kv2__kinect2data__000579_2014-06-08_11-07-06_260595134347_rgbf000166-resize,train,train_candidate,1,1,none,office,lamp_1,lamp,lamp,off,0,1,crops/rgb/kv2__kinect2data__000579_2014-06-08_11-07-06_260595134347_rgbf000166-resize__lamp_1.png,crops/depth/kv2__kinect2data__000579_2014-06-08_11-07-06_260595134347_rgbf000166-resize__lamp_1.png,302,90,340,161,38,71,310.0,98.0,332.0,153.0,0.0,0.0,,
kv2__kinect2data__000782_2014-06-08_22-29-24_260595134347_rgbf000048-resize,train,train_candidate,1,0,none,corridor,lamp_1,lamp,lamp,unclear,0,0,crops/rgb/kv2__kinect2data__000782_2014-06-08_22-29-24_260595134347_rgbf000048-resize__lamp_1.png,crops/depth/kv2__kinect2data__000782_2014-06-08_22-29-24_260595134347_rgbf000048-resize__lamp_1.png,729,24,730,84,1,60,801,32,838,76,0,0,,
kv2__kinect2data__000782_2014-06-08_22-29-24_260595134347_rgbf000048-resize,train,train_candidate,1,0,none,corridor,monitor_or_tv_1,monitor_or_tv,monitor,off,0,1,crops/rgb/kv2__kinect2data__000782_2014-06-08_22-29-24_260595134347_rgbf000048-resize__monitor_or_tv_1.png,crops/depth/kv2__kinect2data__000782_2014-06-08_22-29-24_260595134347_rgbf000048-resize__monitor_or_tv_1.png,542,65,587,110,45,45,550.1428571,73.71428571,578.1428571,101.7142857,0,0,,
kv2__kinect2data__000782_2014-06-08_22-29-24_260595134347_rgbf000048-resize,train,train_candidate,1,0,none,corridor,monitor_or_tv_2,monitor_or_tv,monitor,unclear,0,0,crops/rgb/kv2__kinect2data__000782_2014-06-08_22-29-24_260595134347_rgbf000048-resize__monitor_or_tv_2.png,crops/depth/kv2__kinect2data__000782_2014-06-08_22-29-24_260595134347_rgbf000048-resize__monitor_or_tv_2.png,564,76,598,104,34,28,572,84,590,96,0,0,,
kv2__kinect2data__000782_2014-06-08_22-29-24_260595134347_rgbf000048-resize,train,train_candidate,1,0,none,corridor,door_1,door,door,unclear,0,0,crops/rgb/kv2__kinect2data__000782_2014-06-08_22-29-24_260595134347_rgbf000048-resize__door_1.png,crops/depth/kv2__kinect2data__000782_2014-06-08_22-29-24_260595134347_rgbf000048-resize__door_1.png,716,43,730,84,14,41,724,51,759,76,0,0,,
kv2__kinect2data__000782_2014-06-08_22-29-24_260595134347_rgbf000048-resize,train,train_candidate,1,0,none,corridor,monitor_or_tv_3,monitor_or_tv,monitor,unclear,1,0,crops/rgb/kv2__kinect2data__000782_2014-06-08_22-29-24_260595134347_rgbf000048-resize__monitor_or_tv_3.png,crops/depth/kv2__kinect2data__000782_2014-06-08_22-29-24_260595134347_rgbf000048-resize__monitor_or_tv_3.png,504,286,571,324,67,38,512,294,563,316,0,0,,
kv2__kinect2data__000782_2014-06-08_22-29-24_260595134347_rgbf000048-resize,train,train_candidate,1,0,none,corridor,door_2,door,door,unknown,0,0,crops/rgb/kv2__kinect2data__000782_2014-06-08_22-29-24_260595134347_rgbf000048-resize__door_2.png,crops/depth/kv2__kinect2data__000782_2014-06-08_22-29-24_260595134347_rgbf000048-resize__door_2.png,396,0,468,191,72,191,404,-1,460,183,0,0,,
kv2__kinect2data__000795_2014-06-08_22-39-38_260595134347_rgbf000063-resize,train,train_candidate,1,1,none,office,lamp_1,lamp,lamp,off,0,1,crops/rgb/kv2__kinect2data__000795_2014-06-08_22-39-38_260595134347_rgbf000063-resize__lamp_1.png,crops/depth/kv2__kinect2data__000795_2014-06-08_22-39-38_260595134347_rgbf000063-resize__lamp_1.png,240,0,321,123,81,123,248.0,-1.0,313.0,115.0,0.0,0.0,,
kv2__kinect2data__000795_2014-06-08_22-39-38_260595134347_rgbf000063-resize,train,train_candidate,1,1,none,office,monitor_or_tv_1,monitor_or_tv,monitor,off,0,1,crops/rgb/kv2__kinect2data__000795_2014-06-08_22-39-38_260595134347_rgbf000063-resize__monitor_or_tv_1.png,crops/depth/kv2__kinect2data__000795_2014-06-08_22-39-38_260595134347_rgbf000063-resize__monitor_or_tv_1.png,2,15,77,88,75,73,10.0,23.0,69.0,80.0,0.0,0.0,,
kv2__kinect2data__000795_2014-06-08_22-39-38_260595134347_rgbf000063-resize,train,train_candidate,1,1,none,office,monitor_or_tv_2,monitor_or_tv,monitor,off,0,1,crops/rgb/kv2__kinect2data__000795_2014-06-08_22-39-38_260595134347_rgbf000063-resize__monitor_or_tv_2.png,crops/depth/kv2__kinect2data__000795_2014-06-08_22-39-38_260595134347_rgbf000063-resize__monitor_or_tv_2.png,159,25,275,108,116,83,167.0,33.0,267.0,100.0,0.0,0.0,,
kv2__kinect2data__000827_2014-06-04_19-29-38_260595134347_rgbf000055-resize,train,train_candidate,1,1,possible_unnecessary_lighting,living_room,monitor_or_tv_1,monitor_or_tv,tv,off,0,1,crops/rgb/kv2__kinect2data__000827_2014-06-04_19-29-38_260595134347_rgbf000055-resize__monitor_or_tv_1.png,crops/depth/kv2__kinect2data__000827_2014-06-04_19-29-38_260595134347_rgbf000055-resize__monitor_or_tv_1.png,531,34,687,151,156,117,539.8571777,42.42856598,678.8571777,143,0,0,,
kv2__kinect2data__000827_2014-06-04_19-29-38_260595134347_rgbf000055-resize,train,train_candidate,1,1,possible_unnecessary_lighting,living_room,lamp_1,lamp,lamp,unclear,0,0,crops/rgb/kv2__kinect2data__000827_2014-06-04_19-29-38_260595134347_rgbf000055-resize__lamp_1.png,crops/depth/kv2__kinect2data__000827_2014-06-04_19-29-38_260595134347_rgbf000055-resize__lamp_1.png,701,0,730,484,29,484,709,-2,838,476,0,0,,
kv2__kinect2data__000827_2014-06-04_19-29-38_260595134347_rgbf000055-resize,train,train_candidate,1,1,possible_unnecessary_lighting,living_room,door_1,door,door,unclear,1,0,crops/rgb/kv2__kinect2data__000827_2014-06-04_19-29-38_260595134347_rgbf000055-resize__door_1.png,crops/depth/kv2__kinect2data__000827_2014-06-04_19-29-38_260595134347_rgbf000055-resize__door_1.png,400,0,511,223,111,223,408.8571777,-1,503,214.7142792,0,0,,
kv2__kinect2data__000827_2014-06-04_19-29-38_260595134347_rgbf000055-resize,train,train_candidate,1,1,possible_unnecessary_lighting,living_room,lamp_2,lamp,lamp,on,0,1,crops/rgb/kv2__kinect2data__000827_2014-06-04_19-29-38_260595134347_rgbf000055-resize__lamp_2.png,crops/depth/kv2__kinect2data__000827_2014-06-04_19-29-38_260595134347_rgbf000055-resize__lamp_2.png,65,71,178,196,113,125,73,79,170,188,0,0,,
kv2__kinect2data__000831_2014-06-04_19-50-37_260595134347_rgbf000064-resize,train,train_candidate,1,1,possible_unnecessary_lighting,living_room,door_1,door,door,closed,0,1,crops/rgb/kv2__kinect2data__000831_2014-06-04_19-50-37_260595134347_rgbf000064-resize__door_1.png,crops/depth/kv2__kinect2data__000831_2014-06-04_19-50-37_260595134347_rgbf000064-resize__door_1.png,312,52,410,269,98,217,320,60,402,261,0,0,,
kv2__kinect2data__000831_2014-06-04_19-50-37_260595134347_rgbf000064-resize,train,train_candidate,1,1,possible_unnecessary_lighting,living_room,door_2,door,door,closed,0,1,crops/rgb/kv2__kinect2data__000831_2014-06-04_19-50-37_260595134347_rgbf000064-resize__door_2.png,crops/depth/kv2__kinect2data__000831_2014-06-04_19-50-37_260595134347_rgbf000064-resize__door_2.png,186,64,271,275,85,211,194,72,263,267,0,0,,
kv2__kinect2data__000831_2014-06-04_19-50-37_260595134347_rgbf000064-resize,train,train_candidate,1,1,possible_unnecessary_lighting,living_room,lamp_1,lamp,lamp,on,0,1,crops/rgb/kv2__kinect2data__000831_2014-06-04_19-50-37_260595134347_rgbf000064-resize__lamp_1.png,crops/depth/kv2__kinect2data__000831_2014-06-04_19-50-37_260595134347_rgbf000064-resize__lamp_1.png,564,73,730,490,166,417,572,81,740,482,0,0,,
kv2__kinect2data__000831_2014-06-04_19-50-37_260595134347_rgbf000064-resize,train,train_candidate,1,1,possible_unnecessary_lighting,living_room,lamp_2,lamp,lamp,on,0,1,crops/rgb/kv2__kinect2data__000831_2014-06-04_19-50-37_260595134347_rgbf000064-resize__lamp_2.png,crops/depth/kv2__kinect2data__000831_2014-06-04_19-50-37_260595134347_rgbf000064-resize__lamp_2.png,0,114,82,242,82,128,-16,122,74,234,0,0,,
kv2__kinect2data__001068_2014-06-08_22-04-21_260595134347_rgbf000078-resize,train,train_candidate,1,1,none,office,monitor_or_tv_1,monitor_or_tv,monitor,off,0,1,crops/rgb/kv2__kinect2data__001068_2014-06-08_22-04-21_260595134347_rgbf000078-resize__monitor_or_tv_1.png,crops/depth/kv2__kinect2data__001068_2014-06-08_22-04-21_260595134347_rgbf000078-resize__monitor_or_tv_1.png,691,110,730,261,39,151,699,118,834,253,0,0,,
kv2__kinect2data__001068_2014-06-08_22-04-21_260595134347_rgbf000078-resize,train,train_candidate,1,1,none,office,monitor_or_tv_2,monitor_or_tv,monitor,off,0,1,crops/rgb/kv2__kinect2data__001068_2014-06-08_22-04-21_260595134347_rgbf000078-resize__monitor_or_tv_2.png,crops/depth/kv2__kinect2data__001068_2014-06-08_22-04-21_260595134347_rgbf000078-resize__monitor_or_tv_2.png,368,99,497,241,129,142,376,107,489,233,0,0,,
kv2__kinect2data__001068_2014-06-08_22-04-21_260595134347_rgbf000078-resize,train,train_candidate,1,1,none,office,monitor_or_tv_3,monitor_or_tv,monitor,off,0,1,crops/rgb/kv2__kinect2data__001068_2014-06-08_22-04-21_260595134347_rgbf000078-resize__monitor_or_tv_3.png,crops/depth/kv2__kinect2data__001068_2014-06-08_22-04-21_260595134347_rgbf000078-resize__monitor_or_tv_3.png,208,103,340,209,132,106,216,111,332,201,0,0,,
